0
GAB_NITEROI_CLIENTE;441;325;36;361;22;90;0;24;9;2;5;8;0;299,527777778;233,061538462;238,150769231;273,458461538
GAB_JAU_CLIENTE;442;69;22;91;15;76;0;24;9;1;5;9;0;259,590909091;213,797101449;250,956521739;242,304347826
GAB_JUTURNAIBA_CLIEN;443;232;35;267;16;87;0;24;9;0;5;10;0;277,457142857;222,715517241;296,327586207;245,116379310
GAB_PARA_MINAS_CLIEN;444;45;13;58;28;78;0;24;9;0;5;10;0;320,538461538;222,577777778;235,466666667;275,711111111
GAB_IMPERADOR_CLIENT;445;141;26;167;22;84;0;24;9;1;5;9;0;285,653846154;229,659574468;246,553191489;267,397163121
GAB_PARATY_CLIENTE;446;9;1;10;10;90;0;24;9;0;5;10;0;124,000000000;351,444444444;295,888888889;544,777777778
GAB_NOVA_FRIBURGO_CL;447;101;19;120;13;84;0;24;9;1;5;9;0;351,368421053;262,851485149;278,900990099;295,168316832
GAB_VOTORANTIM_CLIEN;448;60;32;92;13;65;0;24;9;1;5;9;0;294,625000000;191,300000000;267,133333333;207,566666667
GAB_ARACOIABA_CLIENT;449;67;12;79;19;85;0;24;9;0;5;10;0;272,333333333;192,238805970;230,164179104;211,328358209
GAB_AGLH_NEGRAS_CLIE;450;74;20;94;20;79;0;24;9;0;5;10;0;272,800000000;190,500000000;238,756756757;212,000000000
GAB_PARAIBA_CLIENTE;451;341;45;386;19;88;0;24;9;0;5;10;0;339,200000000;188,686217009;269,278592375;213,237536657
GAB_NITEROI_NCLIENTE;452;232;45;277;21;84;0;24;9;3;5;7;0;240,511111111;221,284482759;254,754310345;260,254310345
GAB_JAU_NCLIENTE;453;72;34;106;17;68;0;24;9;0;5;10;0;250,382352941;197,055555556;220,069444444;217,444444444
GAB_JUTURNAIBA_NCLIE;454;114;23;137;15;83;0;24;9;0;5;10;0;182,304347826;212,807017544;306,543859649;232,342105263
GAB_PARA_MINAS_NCLIE;455;52;18;70;13;74;0;24;9;0;5;10;0;201,388888889;141,750000000;196,807692308;175,346153846
GAB_IMPERADOR_NCLIEN;456;104;35;139;17;75;0;24;9;1;5;9;0;247,857142857;255,394230769;269,336538462;292,826923077
GAB_PARATY_NCLIENTE;457;6;2;8;25;75;0;24;9;0;5;10;0;58,500000000;142,833333333;180,666666667;163,333333333
GAB_NV_FRIBURGO_NCLI;458;87;30;117;19;74;0;24;9;0;5;10;0;255,166666667;204,770114943;254,114942529;252,804597701
GAB_VOTORANTIM_NCLIE;459;47;21;68;13;69;0;24;9;0;5;10;0;266,095238095;229,765957447;287,170212766;256,340425532
GAB_ARACOIABA_NCLIEN;460;45;19;64;17;70;0;24;9;0;5;10;0;243,736842105;258,444444444;248,155555556;284,911111111
GAB_AGLH_NEGRAS_NCLI;461;56;17;73;19;77;0;24;9;0;5;10;0;220,000000000;173,321428571;209,196428571;195,178571429
GAB_PARAIBA_NCLIENTE;462;399;102;501;20;80;0;24;9;0;5;10;0;265,039215686;206,726817043;227,406015038;236,117794486
GAB_CONSOLIDADO_LOJA;463;0;0;0;0;0;0;24;9;0;5;10;0;,000000000;,000000000;,000000000;,000000000
