22
GAB_URA	440	7183	178	7361	40	98	0	30	9	19	2	0	0	91,938202247	103,113323124	5,153557010	103,113323124
GAB_NITEROI_CLIENTE	441	288	34	322	21	89	2	24	0	3	5	16	12	303,382352941	229,513888889	249,326388889	273,736111111
GAB_JAU_CLIENTE	442	65	22	87	16	75	1	24	0	0	5	19	305	259,590909091	218,830769231	249,076923077	249,092307692
GAB_JUTURNAIBA_CLIEN	443	210	34	244	14	86	1	24	0	1	5	18	16	278,264705882	228,238095238	314,557142857	251,442857143
GAB_PARA_MINAS_CLIEN	444	40	12	52	29	77	1	24	0	1	5	18	122	315,250000000	206,850000000	236,850000000	265,600000000
GAB_IMPERADOR_CLIENT	445	116	26	142	20	82	0	24	0	1	5	18	0	285,653846154	202,431034483	266,922413793	243,767241379
GAB_PARATY_CLIENTE	446	8	1	9	11	89	0	24	0	1	5	18	0	124,000000000	356,250000000	275,250000000	573,750000000
GAB_NOVA_FRIBURGO_CL	447	90	19	109	13	83	1	24	0	1	5	18	249	351,368421053	259,811111111	286,288888889	290,344444444
GAB_VOTORANTIM_CLIEN	448	56	31	87	14	64	1	24	0	1	5	18	94	294,161290323	176,035714286	267,339285714	192,607142857
GAB_ARACOIABA_CLIENT	449	60	12	72	18	83	1	24	0	0	5	19	297	272,333333333	189,950000000	237,166666667	211,266666667
GAB_AGLH_NEGRAS_CLIE	450	63	18	81	20	78	1	24	0	1	5	18	197	294,444444444	164,587301587	243,539682540	187,761904762
GAB_PARAIBA_CLIENTE	451	316	45	361	20	88	2	24	0	1	5	18	259	339,200000000	182,569620253	275,867088608	207,905063291
GAB_NITEROI_NCLIENTE	452	208	43	251	21	83	2	24	0	5	5	14	279	248,488372093	216,000000000	261,995192308	256,105769231
GAB_JAU_NCLIENTE	453	66	33	99	16	67	1	24	0	0	5	19	156	254,484848485	189,272727273	231,075757576	211,515151515
GAB_JUTURNAIBA_NCLIE	454	100	23	123	13	81	3	24	0	0	5	19	245	182,304347826	200,270000000	325,630000000	219,630000000
GAB_PARA_MINAS_NCLIE	455	47	17	64	14	73	0	24	0	0	5	19	0	210,176470588	137,893617021	197,531914894	174,404255319
GAB_IMPERADOR_NCLIEN	456	93	34	127	17	73	1	24	0	1	5	18	64	247,382352941	244,247311828	280,419354839	285,784946237
GAB_PARATY_NCLIENTE	457	6	2	8	25	75	0	24	0	0	5	19	0	58,500000000	142,833333333	180,666666667	163,333333333
GAB_NV_FRIBURGO_NCLI	458	79	28	107	19	74	1	24	0	1	5	18	223	255,142857143	187,658227848	258,164556962	239,455696203
GAB_VOTORANTIM_NCLIE	459	42	19	61	8	69	1	24	0	0	5	19	143	272,157894737	221,642857143	313,809523810	250,404761905
GAB_ARACOIABA_NCLIEN	460	41	19	60	17	68	0	24	0	1	5	18	0	243,736842105	248,902439024	249,536585366	277,951219512
GAB_AGLH_NEGRAS_NCLI	461	51	16	67	16	76	0	24	0	0	5	19	0	232,187500000	181,882352941	225,215686275	205,078431373
GAB_PARAIBA_NCLIENTE	462	363	100	463	19	78	2	24	0	0	5	19	171	266,640000000	195,319559229	239,190082645	226,074380165
GAB_CONSOLIDADO_LOJA	463	0	0	0	0	0	0	24	0	0	5	19	0	,000000000	,000000000	,000000000	,000000000
GAB_SUPERVISOR	465	0	0	0	0	0	0	2	0	0	2	0	0	,000000000	,000000000	,000000000	,000000000
472	472	0	2	2	0	0	0	1	0	0	1	0	0	331,500000000	,000000000	,000000000	,000000000
GAB_BACKOFFICE	464	0	0	0	0	0	0	0	0	0	0	0	0	,000000000	,000000000	,000000000	,000000000
GAB_SEM_PROTOCOLO	466	0	0	0	0	0	0	0	0	0	0	0	0	,000000000	,000000000	,000000000	,000000000
471	471	0	0	0	0	0	0	0	0	0	0	0	0	,000000000	,000000000	,000000000	,000000000
